"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12136","test_gift_card_flow","DemoWebShop.tests","2026-01-08","passed","2026-01-08","","test_filter_giftcard","",""
"","20753","test_changeinfo","DemoWebShop","2026-01-08","passed","2026-01-08","","test_ver","",""
"","14247","test_register","DemoWebShop","2026-01-08","failed","2026-01-08","","test_ver","",""
"","1071","test_filterbyprice","DemoWebShop","2026-01-08","broken","2026-01-08","","test_ver","",""
"","5917","test_contactus","DemoWebShop","2026-01-08","passed","2026-01-08","","test_ver","",""
"","25731","test_books_checkout_flow","DemoWebShop.tests","2026-01-08","passed","2026-01-08","","test_filter_cart","",""
"","5177","test_login","DemoWebShop.tests","2026-01-08","passed","2026-01-08","","test_login","",""
"","5836","test_contact_us","DemoWebShop.tests","2026-01-08","passed","2026-01-08","","test_contact_us","",""
"","12571","test_register","DemoWebShop.tests","2026-01-08","failed","2026-01-08","","test_register","",""
"","1488","test_newproducts","DemoWebShop","2026-01-08","passed","2026-01-08","","test_ver","",""
"","17315","test_giftcard","DemoWebShop","2026-01-08","passed","2026-01-08","","test_ver","",""
"","4976","test_login","DemoWebShop","2026-01-08","passed","2026-01-08","","test_ver","",""
"","2104","test_subscribe","DemoWebShop","2026-01-08","passed","2026-01-08","","test_ver","",""
"","16200","test_change_account_info_add_address","DemoWebShop.tests","2026-01-08","passed","2026-01-08","","test_change_info","",""
"","15656","test_communitypoll","DemoWebShop","2026-01-08","broken","2026-01-08","","test_ver","",""
"","1122","test_facebook","DemoWebShop","2026-01-08","passed","2026-01-08","","test_ver","",""
"","1372","test_recentlyviewedproducts","DemoWebShop","2026-01-08","passed","2026-01-08","","test_ver","",""
"","29454","test_filterover","DemoWebShop","2026-01-08","broken","2026-01-08","","test_ver","",""
"","2126","test_subscribe_after_login","DemoWebShop.tests","2026-01-08","passed","2026-01-08","","test_subscribe","",""
"","13421","test_community_poll","DemoWebShop.tests","2026-01-08","broken","2026-01-08","","test_community_poll","",""
